PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PitchUID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ
11,10/13/2021,1:23:48 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Fastball,Live,,86.30006,-1.35183,1.23021,1603.38257,149.13566,11:00,4.58128,-2.02732,4.34957,-24.50407,14.98877,-8.97763,1.24735,-1.60007,79.16791,-5.8109,-0.41045,0.4523,4.9062,8.00479,1.90396,50,4.41229,-2.33396,-125.32136,-3.93316,7.83596,24.31039,-19.38917,9343b094-8497-4ec5-b7e9-9ab02388a7ec,b7959947-0476-4cd6-a540-95522e7e0494,83.33428,Pitch,21380013,,,,,,,,,,,,,,,,,,
12,10/13/2021,1:24:03 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Fastball,Live,,85.44738,-2.18734,1.87652,1726.81483,151.90148,11:00,4.65924,-1.98955,4.27243,-22.52817,17.91673,-9.58409,0.68727,-0.99244,78.42201,-6.27525,0.1283,0.45772,5.37071,9.69154,1.79504,50,4.39885,-3.68085,-123.9808,-5.63388,8.39971,23.67112,-17.01663,860401c1-cbbd-48d8-9a2c-ca0e4c775a5d,b7959947-0476-4cd6-a540-95522e7e0494,82.3476,Pitch,21380013,,,,,,,,,,,,,,,,,,
13,10/13/2021,1:24:17 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,ChangeUp,Live,,79.31287,-0.8966,1.21341,1708.02703,126.33785,10:15,4.50954,-2.11718,4.43481,-35.44103,11.04426,-15.06688,0.7007,-2.21523,73.20139,-7.33311,-1.54051,0.49071,8.01692,5.87842,2.00303,50,4.38093,-1.89442,-115.23441,-3.08904,10.85302,20.05193,-24.21606,4985bc28-c5bb-4051-9543-b91c5c5696e8,b7959947-0476-4cd6-a540-95522e7e0494,76.81129,Pitch,21380013,,,,,,,,,,,,,,,,,,
14,10/13/2021,1:24:33 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Fastball,Live,,86.25618,-1.72443,1.48974,1842.64587,151.36905,11:00,4.61466,-1.84758,4.43903,-21.75473,17.56626,-9.60768,1.15609,-1.2271,79.30788,-5.68361,-0.26624,0.45132,5.29642,9.42634,1.69907,50,4.41148,-2.87925,-125.27079,-4.63004,8.47589,23.62822,-17.08902,2dfef4d8-fb24-4a9d-95db-7d5305f00d0a,b7959947-0476-4cd6-a540-95522e7e0494,83.51618,Pitch,21380013,,,,,,,,,,,,,,,,,,
15,10/13/2021,1:24:52 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Fastball,Live,,87.5829,-2.96232,2.58197,1979.70791,154.08665,11:15,4.65261,-2.02828,4.40287,-18.76831,19.90363,-9.68611,0.25609,-0.36967,79.72065,-6.38721,0.80499,0.44758,5.70191,11.04423,1.76255,50,4.31892,-5.33601,-126.87442,-7.31884,9.26426,26.7364,-14.22978,b895b9bb-7918-44f6-b4f2-406022fe5093,b7959947-0476-4cd6-a540-95522e7e0494,84.21411,Pitch,21380013,,,,,,,,,,,,,,,,,,
16,10/13/2021,1:26:38 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Curveball,Live,,72.73035,1.02087,1.14721,1830.98309,267.9216,3:00,4.81014,-2.04801,3.41028,-57.96631,0.07462,3.38981,0.97188,-0.65065,66.66821,-9.3587,1.759,0.54833,-1.34513,-0.25908,1.90183,50,4.86464,-2.23611,-105.38867,-0.2706,-1.50658,18.60164,-32.46422,36c37b2e-43fb-426d-a219-a1a31f55a22e,b7959947-0476-4cd6-a540-95522e7e0494,68.74097,Pitch,21380013,,,,,,,,,,,,,,,,,,
17,10/13/2021,1:26:58 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Fastball,Live,,87.49982,-1.56637,3.16634,2080.21734,146.87592,11:00,4.59633,-2.14827,4.51105,-20.91409,17.20677,-11.24803,1.35892,-0.0667,80.49858,-5.37646,1.11272,0.44438,6.56104,9.21066,1.82743,50,4.41285,-6.57822,-126.97245,-4.30631,10.80871,23.77761,-17.00032,c1740802-f89f-4110-80bf-27b0abbf9772,b7959947-0476-4cd6-a540-95522e7e0494,84.82063,Pitch,21380013,,,,,,,,,,,,,,,,,,
18,10/13/2021,1:27:22 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Curveball,Live,,80.28025,-0.68852,2.45268,2007.78898,227.14295,1:30,4.43693,-2.2976,3.99627,-40.83553,5.67366,6.15656,0.37135,0.57502,73.70933,-8.05636,3.57071,0.49084,-2.41908,3.05549,2.01244,50,4.31506,-5.22277,-116.40538,-2.97025,-3.31688,21.99432,-27.98458,496dcc8b-22e2-4825-a19b-d97f17fffca3,b7959947-0476-4cd6-a540-95522e7e0494,76.79155,Pitch,21380013,,,,,,,,,,,,,,,,,,
19,10/13/2021,1:27:49 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Curveball,Live,,72.15363,0.44986,1.27297,1863.79793,323.92793,4:45,4.72951,-2.07318,3.5705,,,,,,,,,,-1.68147,-2.96906,1.91429,50,4.70733,-2.4731,-104.58981,-1.50432,-1.85501,18.30696,-35.44953,531c120c-2921-4156-b2fb-229c081a6584,b7959947-0476-4cd6-a540-95522e7e0494,,Pitch,21380013,,,,,,,,,,,,,,,,,,
20,10/13/2021,1:28:11 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Cutter,Live,,79.4309,-1.51344,1.75152,1951.74544,245.47973,2:15,4.48997,-2.3171,3.97825,,,,,,,,,,-2.73985,1.86819,2.1108,50,4.26965,-3.76707,-115.20611,-4.74734,-3.6849,21.26022,-29.66146,a0b24a06-d485-4742-8570-383d43419826,b7959947-0476-4cd6-a540-95522e7e0494,,Pitch,21380013,,,,,,,,,,,,,,,,,,
